video_id,title,published,views,likes,comments,duration,tags
Co-97Ht5vAY,Vibe Coding a Video Generation App with Gemini 3 and Veo 3.1,2025-12-02T05:00:23Z,42,4,0,5.204006687076795,"['Google', 'developers', 'pr_pr: AI DevRel (fka Core ML);', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ;', 'gds:N/A;']"
JO7L_0_U-ok,Vibe Coding 3D Landing Pages with Gemini 3,2025-12-02T05:00:22Z,47,3,0,4.499809670330265,"['Google', 'developers', 'pr_pr: AI DevRel (fka Core ML);', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ;', 'gds:N/A;']"
E9Y1gCwuN5o,Building an Interactive News App with Nano Banana Pro,2025-12-02T05:00:17Z,150,10,0,4.962844630259907,"['Google', 'developers', 'pr_pr: AI DevRel (fka Core ML);', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ;', 'gds:N/A;']"
Cgutj_h7FOg,Vibe Coding a 3D Flight Simulator Game with Gemini 3,2025-12-02T05:00:13Z,50,5,0,4.804021044733257,"['Google', 'developers', 'pr_pr: AI DevRel (fka Core ML);', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ;', 'gds:N/A;']"
8pSHmwFkUAk,Converting YouTube Videos into Visual Explainers with Nano Banana Pro,2025-12-02T05:00:12Z,1167,34,3,6.061456918928017,"['Google', 'developers', 'pr_pr: AI DevRel (fka Core ML);', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ;', 'gds:N/A;']"
Ao5B2X7tNtk,Vibe Coding a Dance Choreography App with Gemini 3,2025-12-02T05:00:12Z,50,4,0,5.537334267018537,"['Google', 'developers', 'pr_pr: AI DevRel (fka Core ML);', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ;', 'gds:N/A;']"
8VsZLFAk54o,Vibe Coding an Educational Search Tool with Gemini 3,2025-12-02T05:00:09Z,71,3,0,4.653960350157523,"['Google', 'developers', 'pr_pr: AI DevRel (fka Core ML);', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ;', 'gds:N/A;']"
4zeW_KRzc8U,Josh Woodward Vibe Codes a Fishing Game Live with Gemini 3,2025-12-02T05:00:08Z,60,4,2,5.777652323222656,"['Google', 'developers', 'pr_pr: AI DevRel (fka Core ML);', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ;', 'gds:N/A;']"
9n_W1JoAdTA,Ammaar Stole My Conference Room App,2025-12-02T05:00:08Z,33,2,0,5.429345628954441,"['Google', 'developers', 'pr_pr: AI DevRel (fka Core ML);', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ;', 'gds:N/A;']"
0RkQE1cu_KI,Vibe Coding a 3D Voxel Art Generator with Gemini 3,2025-12-02T05:00:01Z,54,3,0,4.382026634673881,"['Google', 'developers', 'pr_pr: AI DevRel (fka Core ML);', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ;', 'gds:N/A;']"
aYw3minHIQA,Building an RPG Character Sheet with Nano Banana Pro,2025-12-02T05:00:01Z,44,2,0,5.308267697401205,"['Google', 'developers', 'pr_pr: AI DevRel (fka Core ML);', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ;', 'gds:N/A;']"
yxs62zcY7MI,How do you make this truly immutable? Go!,2025-12-01T21:30:16Z,2993,32,5,3.332204510175204,"['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Learn;', 'Campaign: G4D: Puzzles;', 'Video Type:G4D SV: Educational ;', 'ct: AIG;;', 'gds:Yes;']"
HFGyEGU-yyk,What is Google Antigravity?,2025-12-01T18:00:16Z,9029,182,7,4.3694478524670215,"['pr_pr: Google for Developers;', 'Purpose: Influence;', 'Campaign: STV', 'GfD-Antigravity;', 'type:G4D SV: Educational ;', 'gds:Yes;']"
V8COJv2dG2g,"That ""quick question"" at 4:59 PM always hits different. 😅",2025-11-27T00:00:40Z,15197,152,4,1.6094379124341003,"['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Learn;', 'Campaign: Video Type:G4D SV: Comedic skits;', 'ct: AIG;', 'gds:Yes;']"
a7nJeXk6VxU,Vibe coding and context engineering with ADK,2025-11-26T17:00:00Z,7031,270,34,7.939871576361883,"['Google', 'developers', 'pr_pr: Google Cloud Tech;', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ;', 'gds:N/A;']"
iFqDyWFuw1c,"Sundar Pichai: Gemini 3, Vibe Coding and Google's Full Stack Strategy",2025-11-25T23:00:42Z,102463,2487,244,7.411556287811163,"['Google', 'developers', 'pr_pr: AI DevRel (fka Core ML);', 'Purpose: Learn;', 'Video Type:Podcast;', 'ct: AIG;;', 'gds:Yes;']"
YwYu1JWvn-8,What is a reliable system? An SRE perspective,2025-11-25T17:51:10Z,4219,85,4,4.143134726391533,"['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Learn;', 'Campaign: BBDS;', 'Series: AASRE;', 'type:G4D SV: Educational ;', 'gds:Yes;', 'ct: AIG;']"
fBshJ_ps6WI,How to build reliable AI Agents?,2025-11-25T17:01:15Z,3182,136,5,6.432940092739179,"['Google', 'developers', 'Google ADK', 'Arize Phoenix', 'AI Agents', 'LLM Observability', 'OpenTelemetry', 'Python', 'Agent Development Kit', 'Arize AI']"
hk6gwiZmSWA,Nano Banana Pro: Hands-on with the World’s Most Powerful Image Model,2025-11-25T01:39:39Z,12282,283,87,7.68937110752969,"['Google', 'developers', 'pr_pr: AI DevRel (fka Core ML);', 'Purpose: Learn;', 'Video Type:Podcast;', 'ct: AIG;;', 'gds:Yes;']"
fXtna7UrL44,Koray Kavukcuoglu: “This Is How We Are Going to Build AGI”,2025-11-24T22:37:26Z,18695,443,42,7.981049759665957,"['Google', 'developers', 'pr_pr: AI DevRel (fka Core ML);', 'Purpose: Learn;', 'Video Type:Podcast;', 'gds:Yes;', 'ct: AIG;']"
Yil8Gpd6dLg,What's happening under the hood with C's type conversion rules? Go!,2025-11-24T14:01:07Z,5582,85,19,3.044522437723423,"['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Learn;', 'Campaign: G4D: Puzzles;', 'Video Type:G4D SV: Educational ;', 'ct: AIG;;', 'gds:Yes;']"
9oYHU1hdDog,"Agents, AI & The Next Wave: Mike Clark on Vertex AI at DevFest Silicon Valley",2025-11-21T00:00:10Z,2247,55,14,7.379008127628304,"['Google', 'developers', 'pr_pr: Google Developer Groups;', 'Purpose: Learn;', 'Video Type:Interview;', 'ct: ;', 'gds:N/A;']"
9EGtawwvlNs,Build an AI Agent with Gemini 3,2025-11-20T21:45:49Z,86875,2444,109,5.948034989180646,"['Google', 'developers', 'pr_pr: AI DevRel (fka Core ML);', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ;', 'gds:N/A;']"
sCXuCczPE8A,What's on the newsdesk for Google Developers this November? Take a peek!,2025-11-20T20:00:55Z,3970,53,4,3.5263605246161616,"['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Learn;', 'Campaign: ;', 'Video Type:G4D SV: Educational ;', 'ct: AIG; ;', 'gds:Yes;']"
hunRGj4Bpb0,Keep your code fresh and clean with YAGNI!,2025-11-20T19:30:53Z,8410,211,9,3.5263605246161616,"['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Learn;', 'Campaign: TIPS;', 'type:G4D SV: Educational ;', 'ct: AIG;', 'gds:Yes;']"
L0QHMLx02l4,"Introducing ADK Go, User Simulator, and more! - Google Developer News November 2025",2025-11-20T17:02:19Z,5430,147,4,4.882801922586371,"['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ;', 'gds:Yes;']"
uzFOhkORVfk,Google Antigravity: Hands on with our new agentic development platform,2025-11-20T04:40:52Z,27390,638,75,7.897296472595885,"['Google', 'developers', 'pr_pr: AI DevRel (fka Core ML);', 'Purpose: Learn;', 'Video Type:Podcast;', 'gds:Yes;', 'ct: AIG;']"
ku-N-eS1lgM,Gemini 3 for Developers,2025-11-19T20:03:14Z,30587,816,46,6.331501849893691,"['Google', 'developers', 'pr_pr: AI DevRel (fka Core ML);', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ;', 'gds:N/A;']"
mci0f2dy7G0,Gemini 3: Launch day reactions,2025-11-19T03:58:36Z,12884,366,38,7.838737559599282,"['Google', 'developers']"
