video_id,title,published,views,likes,comments,duration,tags
yx9zHnBK85o,Just in 📰: Google Play Console updates -Gemini localization & deep link validation,2025-11-06T17:29:09Z,5057,110,6,4.060443010546419,"['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Influence;', 'Campaign: ;', 'Video Type:G4D SV: Educational ;', 'ct: AIG; ;', 'gds:Yes;']"
ukW6n0UCp5g,Supercharge your agents with Agent2Agent (A2A) Protocol! ⚡,2025-11-06T05:01:10Z,6635,154,7,4.0943445622221,"['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Influence;', 'Campaign: STV; type:G4D SV: Comedic skits;', 'gds:Yes;']"
NWNNDvehBIU,How to get started on Opal,2025-11-05T20:35:20Z,33505,743,36,6.008813185442595,"['Google', 'developers', 'pr_pr: AI DevRel (fka Core ML);', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: AIG;', 'gds:N/A;']"
LXqassleEcw,Don’t forget to join us at #TheAndroidShow,2025-11-05T20:00:31Z,6641,118,8,3.1780538303479458,"['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Learn;', 'Campaign: ;', 'type:Trailer/Promo;', 'ct: AIG;;', 'gds:Yes;']"
wACQU4TWHTw,That feeling when you drop your app's wait time. ⚡️,2025-11-05T05:01:13Z,7950,94,4,2.5649493574615367,"['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Influence;', 'Campaign: ;', 'type:G4D SV: Comedic skits;', 'ct: AIG;;', 'gds:Yes;']"
VK5fxLOKPu8,What is SRE?,2025-11-05T00:00:40Z,8347,333,8,4.31748811353631,"['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Learn;', 'Campaign: BBDS;', 'type:G4D SV: Educational ;', 'ct: AIG; ;', 'gds:Yes;', 'series: AASRE;']"
gq6mXwicBO4,What’s going to happen when we call show()? Go!,2025-11-03T14:01:23Z,16116,135,14,2.995732273553991,"['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Learn;', 'Campaign: G4D: Puzzles;', 'Video Type:G4D SV: Educational ;', 'ct: AIG;;', 'gds:Yes;']"
1QdNxfI2wTc,A developer’s haunted house 👻,2025-10-31T04:00:06Z,15598,213,13,3.1780538303479458,"['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Learn;', 'Campaign: ;', 'type:G4D SV: Holiday or Observance;', 'ct: AIG;;', 'gds:Yes;']"
Y1SRd-HKbBU,How should devs use AI thoughtfully? (3 questions to guide you),2025-10-30T23:00:59Z,11024,203,6,4.499809670330265,"['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Influence;', 'Campaign: BBDS;', 'Video Type:G4D SV: Educational ;', 'ct: AIG; ;', 'gds:Yes;']"
Pm3vxmvrK18,Connecting Gemini API to the Outside World with Tools | Intro to Tools,2025-10-30T22:20:02Z,9862,179,7,5.170483995038151,"['Google', 'developers', 'Type: Upload Only;', 'ct: AIG;']"
